恰も,"彼女はあたかも幽霊でも見たかのように見えた。
かのじょはあたかもゆうれいでもみたかのようにみえた。
She looked as if she had seen a ghost."
容易い,"離陸するほうが着陸するよりたやすい。
りりくするほうがちゃくりくするよりたやすい。
Taking off is easier than landing."
様式,"文化，宗教，生活様式などに違いがあると対立が起き得るが、世界には問題を抱えながらも異なる民族が共存している国もある。
文化，宗教，生活様式などに違いがあると対立がおきうるが、世界には問題をかかえながらもことなる民族がきょうそん/きょうぞんしているくにもある。
While differences in culture, religion, and lifestyle can cause conflict, there are countries in the world where different ethnic groups coexist despite the challenge."
破壊する,"様々な科学技術の発達によって私たちの生活は格段に便利になったが、その代償として自然が破壊されたことを忘れてはならない。
さまざまな科学技術の発達によって私たちの生活はかくだんに便利になったが、そのだいしょうとして自然が破壊されたことを忘れてはならない。
The development of science and technology has made our lives much more convenient, but we must not forget that some such advances were made at the expense of the environment."
尚更,"赤ん坊は歩く事が出来ない。走る事はなおさらできない。
あかんぼうはあるくことができない。はしることはなおさらできない。
The baby can't walk, much less run."
名高い,"北野天満宮には、学問の神様として名高い菅原道真がまつられている。
きたのてんまんぐうには、がくもんのかみさまとしてなだかいすがわらのみちざねがまつられている。
The Kitano Tenmangu Shrine is dedicated to the worship of Sugawara no Michizane, the renowned deity of scholarship."
凝る,"血液の流れが悪くなると、肩が凝ったり、腰が痛くなったりする。
血液の流れが悪くなると、肩がこったり、腰が痛くなったりする。
Poor blood flow can lead to stiff shoulders and back pain."
均衡,"予算は均衡がとれていなければならない。
よさんはきんこうがとれていなければならない。
The budget must be balanced."
寄付,"特定の団体からの紐付きの寄付金や補助金は受けずに、自分で稼いだ資金だけで事業を起こした。
特定の団体からのひもつきのきふきんや補助金は受けずに、自分でかせいだ資金だけで事業を起こした。
He did not receive any donations or grants with strings attached from specific organizations but started his business using only his own hard-earned money."
気兼ねしている,"No data for Kanji
No data for Kana
No data for English"
ばったり,"高校時代の同級生と駅前でばったり会い、近くの喫茶店で数時間積もる話に花を咲かせた。
高校時代の同級生とえきまえでばったり会い、近くの喫茶店ですうじかんつもるはなしにはなを咲かせた。
I bumped into a classmate from high school in front of the station, and we spent a good few hours chatting happily at a nearby coffee shop."
まごまご,"No data for Kanji
No data for Kana
No data for English"
目標,"（SDGs;エスディージーズ)は地球レベルで目指す17の目標から成る。
（SDGs;エスディージーズ)は地球レベルでめざすじゅうなな/じゅうしち7の目標からなる。
The UN’s Sustainable Develoment Goals (SDGs) consist of 17 goals aimed on a global scale."
見窄らしい,"非常にみすぼらしく見える。
ひじょうにみすぼらしくみえる。
He looks very down-at-the-heels."
,"No data for Kanji
No data for Kana
No data for English"
誂える,"冬にグレーのスーツを１着あつらえる事を考えています。
ふゆにグレーのスーツを１ちゃくあつらえることをかんがえています。
I have it in mind to have a gray suit made to order for the winter."
緩和する,"花粉症の薬を飲むとアレルギー症状は緩和されるが、しばしば眠気が起こることがある。
かふんしょうのくすりを飲むとアレルギー症状はかんわされるが、しばしばねむけが起こることがある。
Hay fever medication relieves allergic symptoms but often causes drowsiness."
もっぱら,"現在、与党の要職についている政治家は、首相の座に色気を見せていると専らの噂だ。
現在、よとうの要職についている政治家は、しゅしょうのざにいろけを見せているともっぱらのうわさだ。
The politician currently holding a key position in the ruling party is rumored to be eyeing the prime minister position."
みっともない,"大人が公衆の面前でけんかなどするのはみっともない。
おとなが公衆のめんぜんでけんかなどするのはみっともない。
It is disgraceful for adults to fight in public."
気に障る,"彼女の話し方は私の気にさわった。
かのじょのはなしかたはわたしのきにさわにさわった。
Her way of talking got on my nerves."
身にしみる,"冷たい風が彼のコートを通して身にしみた。
つめたいかぜがかれのコートをとおしてみにしみた。
The cold wind cut through his coat."
解約,"ネットショップのサイトでアンケートに答えていたら、間違って何かのボタンをクリックしてしまったらしく、自動的に契約が成立してしまった。気づいたのが遅かったので解約できず、高い商品を買わされた。
ネットショップのサイトでアンケートに答えていたら、まちがってなにかのボタンをクリックしてしまったらしく、自動的にけいやくが成立してしまった。気づいたのが遅かったのでかいやくできず、高い商品を買わされた。
I was filling out a questionnaire on an online store’s website, and it looks like I clicked on a button by mistake: a contract seems to have been formed automatically. I wanted to cancel the contract, but it was too late and I ended up being forced to buy an expensive product."
息切れしている,"No data for Kanji
No data for Kana
No data for English"
元より,"低賃金、劣悪な労働条件、一方的な首切りなどの経済・労働問題はもとより、各種の人道的問題までも引き起こしている。
ていちんぎん、れつあくなろうどうじょうけん、いっぽうてきなくびきりなどのけいざい・ろうどうもんだいはもとより、かくしゅのじんどうてきもんだいまでもひきおこしている。
Of course, they are suffering from terrible working conditions such as low wages and arbitrary layoffs, as well as from various forms of discrimination."
甚だ,"彼はやたらに故事来歴に詳しいけれど、それが人生の役に立っているのかはなはだ疑問だね。
かれはやたらにこじらいれきにくわしいけれど、それがじんせいのやくにたっているのかはなはだぎもんだね。
He has a great storehouse of knowledge about historical details but I seriously doubt that's of any use in life."
夥しい,"駅の近くの歩道には何処に行ってもおびただしい数の自転車が放置されているのが見かけられる。
えきのちかくのほどうにはどこにいってもおびただしいかずのじてんしゃがほうちされているのがみかけかけられる。
Wherever you go, you see a lot of bicycles left on sidewalks near stations."
諄い,"くどいよ君の質問は、もううるさい。
くどいよきみのしつもんは、もううるさい。
Stop bugging me with your annoying questions!"
計画,"工場の跡地に多量の有害物質が発見されたため、マンション建設計画は中止となった。
こうじょうのあとちにたりょうの有害物質が発見されたため、マンション建設計画は中止となった。
The apartment construction project was cancelled due to the discovery of a large amount of toxic substances on the site of the demolished factory."
恐縮,"会社を出たところで上司にばったり会い、先に挨拶をされたので、私はすっかり恐縮して頭を下げた。
会社を出たところで上司にばったり会い、さきに挨拶をされたので、私はすっかりきょうしゅくしてあたまを下げた。
As I was leaving the office, I bumped into my boss, who happened to greet me first. I bowed my head in complete embarrassment."
兎角,"人はとかく自分の欠点に気が付かないものだ。
ひとはとかくじぶんのけってんにきかないものだ。
People often don't notice their own faults."
端たない,"No data for Kanji
No data for Kana
No data for English"
目録,"新刊書の目録を作って欲しいと思います。
しんかんしょのもくろくをつくってほしいとおもいます。
I wish you would make a list of the newly published books."
躊躇う,"質問するのをためらわないでください。
しつもんするのをためらわないでください。
Don't hesitate to ask questions."
合理化,"鉄道会社は経営の合理化のため、利用者の極端に少ない区間での減便を検討している。
鉄道会社は経営のごうりかのため、利用者のきょくたんに少ないくかんでのげんびんを検討している。
Railroad companies are considering reducing services on routes with extremely low use in order to economize."
浸透,"小学生の将来なりたい職業ランキングを見ると、定番のスポーツ選手、医師などの他、近年はユーチューバーが入っていて、インターネットがいかに小学生の間で浸透しているのかが分かる。
小学生の将来なりたい職業ランキングを見ると、ていばんのスポーツ選手、医師などのほか、きんねんはユーチューバーがはいっていて、インターネットがいかに小学生の間でしんとうしているのかが分かる。
Looking at the favorite occupations that elementary school students list, in addition to the standard ones such as athletes, doctors, etc., in recent years, YouTubers have been included, showing how pervasive the Internet has now become among elementary school students."
適宜,"全角文字を含むファイル名の場合、一部のＯＳでは文字化けが生じることがありますので、ダウンロードの際に適宜ファイル名を変更してください。
ぜんかくもじをふくむファイルめいのばあい、いちぶのオー・エスＳではもじばけがしょうじることがありますので、ダウンロードのさいにてきぎファイルめいをへんこうしてください。
On some OS's you get gibberish for filenames with full-width characters so when downloading please change to a suitable filename."
だいいち,"第１３週：絶対運動と相対運動について学習する。
だい１３しゅう：ぜったいうんどうとそうたいうんどうについてがくしゅうする。
Week 13: Learn about absolute, and relative, motion."
あべこべ,"あなたはシャツをあべこべに着ている。
あなたはシャツをあべこべにきている。
You are wearing your shirt inside out."
厄介,"現行の介護保険制度では息子または娘が被介護者と同居している場合、たとえ彼らが毎日仕事で家を空け介護ができない状況であっても、「同居人あり」と見なされる。これにより、受けられる在宅介護サービスが制限されてしまうという厄介な問題が起こっている。
げんこうの介護保険制度ではむすこまたはむすめがひかいごしゃと同居している場合、たとえかれらが毎日仕事でいえをあけ介護ができない状況であっても、「どうきょにんあり」と見なされる。これにより、受けられるざいたくかいごサービスが制限されてしまうというやっかいな問題が起こっている。
Under the current Nursing Care Insurance System, if a son or daughter lives with the person being cared for, they are considered to be “living together” even if they are mostly away from home for work every day and cannot provide constant care. This raises a troublesome issue in that living with such a family member limits the range of home care services that can otherwise be provided to elderly people."
手を尽くして,"どう手を尽くしてもダメだった。
どうてをつくしてもダメだった。
Every means has failed."
豪語,"「売れるなんて豪語してるけど、あんな映画、どうせこけるに決まってる」と息巻いているが、共演俳優とのいざこざから主役を下ろされた若手俳優は、映画完成のニュースを聞いて内心穏やかではないらしい。
「売れるなんてごうごしてるけど、あんな映画、どうせこけるに決まってる」といきまいているが、きょうえんはいゆうとのいざこざから主役をおろされたわかてはいゆうは、映画完成のニュースを聞いてないしんおだやかではないらしい。
The young actor, who had been replaced in the lead role because of a dispute with his co-star, is apparently upset at hearing the news of the film’s completion. He has been voicing his opinion, saying, “They are boasting that the film will be a success, but I am sure it will be a flop,” but he wasn’t calm deep down, from what I hear."
ずるずる,"私はぬかるんだ斜面をずるずると滑り下りた。
わたしはぬかるんだしゃめんをずるずるとすべりおりた。
I slithered down the muddy slope."
粋な,"子どものような純粋な心を持っている人は、素直で気持ちに裏表がなく、喜怒哀楽などの感情表現もストレートだ。
子どものような純粋な心を持っているひとは、すなおで気持ちにうらおもてがなく、きどあいらくなどの感情表現もストレートだ。
People who have a pure childlike heart are honest and sincere with their feelings, and their emotional expressions such as joy, anger, sorrow, and pleasure are straightforward."
貫いた,"弾丸は彼を貫いた。
だんがんはかれをつらぬいた。
The bullet penetrated him."
溶け込む,"帰国子女があの組の中に溶け込むのは難しいよ。
きこくしじょがあのくみのなかにとけこむのはむずかしいよ。
It's difficult for returnees to blend in with that class."
剥製,"No data for Kanji
No data for Kana
No data for English"
自覚,"息子の通う中学校の教育目標には、国際社会の一員であることを自覚し、異なる文化を持つ人々との共生をはかるということが掲げられている。
むすこのかよう中学校の教育目標には、国際社会のいちいんであることを自覚し、ことなる文化を持つひとびととのきょうせいをはかるということがかかげられている。
The educational goal of my son’s junior high school is to make every student aware that they are a member of the international community and to encourage them to live in harmony with people of diverse cultures."
じかに,"彼はすぐ帰ってきた。
かれはすぐかえってきた。
He came back soon."
さっさと,"どうせ、時間に関わらず、俺が先に来てなかったら、さっさとネカフェへ行く腹積もりだったんだろう。
どうせ、じかんにかかわらず、おれがさきにきてなかったら、さっさとネカフェへいく腹積もりだったんだろう。
No doubt, regardless of the time, she was planning to go to the net café without me if I hadn't arrived first."
誇り,"父は人の命を救う医者という仕事に誇りを持っている。
父はひとのいのちをすくう医者という仕事にほこりを持っている。
My father takes pride in his work as a doctor saving people’s lives."
精通している,"純子は英語に精通している。
純子はえいごにせいつうしている。
Junko is quite familiar with English."
円滑,"彼は、中国語をしっていたので、私たちは計画を円滑に実行できた。
かれは、ちゅうごくごをしっていたので、わたしたちはけいかくをえんかつにじっこうできた。
His knowledge of Chinese enabled us to carry out our plan smoothly."
大ざっぱ,"あの人って大ざっぱな性格だからね。
あのひとっておおざっぱざっぱなせいかくだからね。
He's the type who doesn't worry about details."
滲む,"家で洗濯すると色がにじむ。
いえでせんたくするといろがにじむ。
If you wash it at home, the color will run."
写生,"小学生たちが公園のあちこちで草花の写生をしている。
小学生たちが公園のあちこちでくさばなのしゃせいをしている。
Elementary school students are sketching flowers and plants all around the park."
こつこつ,"彼は仕事をこつこつやった。
かれはしごとをこつこつやった。
He stuck to his job."
厳か,"結婚生活がうまく行っていない方は結婚式の時におごそかに神の前に誓った、夫婦の誓約を思い出してみましょう。
けっこんせいかつがうまく行っていないかたはけっこんしきのときにおごそかにかみのまえにちかった、ふうふのせいやくをおもいだしてみましょう。
And to the people whose married life is not going well, let's remember the marriage covenant sworn solemnly before God at the wedding ceremony."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
還元している,"No data for Kanji
No data for Kana
No data for English"
現に,"候補者は選挙演説で、全ての人がデジタル社会のメリットを享受できるよう、実現に向けて力を尽くすと訴えかけた。
候補者は選挙演説で、すべてのひとがデジタル社会のメリットをきょうじゅできるよう、実現に向けてちからを尽くすと訴えかけた。
The candidate, in her election speeches, vowed that she will do everything that she can do to ensure that everyone can enjoy the benefits of a digital society."
現代的,"前章でも確認した通り、日本の天皇制は長期にわたり維持されてきたが、本章では天皇制の存続を可能としてきた要因を歴史的視点から考察し、現代的視点からあらためてこの問題について考える。
ぜんしょうでも確認したとおり、日本のてんのうせいは長期にわたりいじされてきたが、ほんしょうではてんのうせいの存続を可能としてきた要因を歴史的視点から考察し、現代的視点からあらためてこの問題について考える。
As confirmed in the previous chapter, Japan's Emperor System has been maintained for along time. However, in this chapter, we will examine the factors that have allowed for the continuation of the Emperor System from a historical perspective and re-evaluate this issue from a contemporary standpoint."
極めて,"外相は、テレビインタビューに答えて、超大国の軍事行動は明らかな国際法違反であり、経済制裁は極めて妥当な措置であるとコメントした。
がいしょうは、テレビインタビューに答えて、ちょうたいこくの軍事行動は明らかな国際法違反であり、経済制裁はきわめてだとうなそちであるとコメントした。
In a televised interview, the foreign minister commented that the military actions of the superpower were a clear violation of international law and that imposing economic sanctions was appropriate."
気紛れ,"No data for Kanji
No data for Kana
No data for English"
清らか,"夏休みに久しぶりに故郷に帰って、清らかな水とさわやかな森の風を満喫してきた。
夏休みにひさしぶりにこきょうに帰って、きよらかな水とさわやかな森の風をまんきつしてきた。
I returned to my hometown for the first time in ages during summer break to enjoy the clean water and fresh forest breeze."
謀られ,"No data for Kanji
No data for Kana
No data for English"
除外,"責任ということを除外しては人生に何の意味もない。
せきにんということをじょがいしてはじんせいになんのいみもない。
Life has no meaning except in terms of responsibility."
当惑している,"彼女の移り気にはみんな当惑している。
かのじょのうつりぎにはみんなとうわくしている。
We are all bewildered by her inconstancy."
かねて,"相撲は日本の文化に深く根差した武道と言われるが、ハワイ、ブラジル、モンゴルなど外国出身の力士もかねてより活躍している。
すもうは日本の文化に深くねざしたぶどうと言われるが、ハワイ、ブラジル、モンゴルなど外国出身のりきしもかねてより活躍している。
Sumo is said to be a martial art deeply rooted in Japanese culture. Nevertheless, there are sumo wrestlers from Hawaii, Brazil, Mongolia, and other foreign countries who have actively taken part in sumo for some time."
倹約,"収入が低いと倹約せざるを得なくなる。
しゅうにゅうがひくいとけんやくせざるをえなくなる。
A small income obliges us to thrift."
波磔,"No data for Kanji
No data for Kana
No data for English"
報告,"同窓会誌に卒業学年の近況を報告することになり、800字以内で書くようにと原稿執筆の依頼を受けた。
どうそうかいしに卒業学年の近況を報告することになり、はっぴゃくじいないで書くようにとげんこうしっぴつのいらいを受けた。
I was asked to write a manuscript for the alumni magazine to report on recent developments concerning our graduating class; I was asked to keep it within 800 characters."
辛抱,"ちなみにここ一週間は、例えばフラグが立っていようとも、Ｈシーンが無い事は確定事項だからな。暫くの間、辛抱な！
ちなみにここいっしゅうかんは、たとえばフラグがたっていようとも、エッチシーンがないことはかくていじこうだからな。しばらくのあいだ、しんぼうな！
By the way, this week - no matter what flags are set - it's a certainty that there will be no ecchi scenes. You'll just have to bear with it a while."
横着している,"No data for Kanji
No data for Kana
No data for English"
いやに,"友人の引っ越しの手伝いをしている時、いやに重い荷物があったので「いったい何をこんなに詰め込んだの。」と冗談交じりに尋ねると、「金塊だよ」ととぼけた答えが返ってきた。
ゆうじんの引っ越しのてつだいをしている時、いやに重い荷物があったので「いったい何をこんなに詰め込んだの。」とじょうだんまじりに尋ねると、「きんかいだよ」ととぼけた答えが返ってきた。
When I was helping a friend with a move, I found an unusually heavy box. So I jokingly asked him, “What in the world did you pack in this heavy box?” He responded with a dry humor saying, “There are gold nuggets in there.”"
あくまで,"男性より女性の方が癌や心筋梗塞が発症しにくく寿命が長いというのは、あくまでも一般論で、実際には個人差も大きい。
男性より女性のほうががんやしんきんこうそくがはっしょうしにくくじゅみょうが長いというのは、あくまでも一般論で、実際にはこじんさも大きい。
The fact that women are less likely to develop cancer or experience myocardial infarction and have a longer life span than men is merely a generalization. In reality, large individual differences exist."
しとやか,"女性皇族の方々は、気品があってしとやかな振る舞いをされる。
じょせいこうぞくのかたがたは、きひんがあってしとやかなふるまいをされる。
The female members of the Imperial Family comport themselves in a graceful and modest manner."
露骨,"近医で処方を希望したら露骨に嫌な顔をされた。
きんいでしょほうをきぼうしたらろこつにいやなかおをされた。
I was given a nasty look when I asked for my prescription at the local doctor's."
痛手,"彼の死は我が社にとって大きな痛手であった。
かれのしは我が社にとっておおきないたでであった。
His death was a great loss to our firm."
示唆,"彼は私の示唆に単に肩をすくめて無視した。
かれはわたしのしさにたんにかたをすくめてむしした。
He simply shrugged off my suggestion."
いくぶん,"私は幾分疲れを感じています。
わたしはいくぶんつかれをかんじています。
I'm feeling kind of tired."
職人,"日本の伝統工芸の一つ、江戸切子の一人前の職人になるためには、たった2、3年の修行ではとても足りない。
日本のでんとうこうげいのひとつ、えどきりこのいちにんまえのしょくにんになるためには、たったにさんねんのしゅぎょうではとても足りない。
Many years of training are needed to become a full-fledged craftsman of Edo faceted glass, one of Japan's traditional crafts from the Edo period; this art is not something that can be learned in only a few years."
うなった,"子どもの頃と比べると、ふるさとの様子も変わった。川から見える丘陵の頂には、近代的な住宅が建ち並ぶようなった。
子どもの頃と比べると、ふるさとのようすも変わった。川から見えるきゅうりょうのいただきには、近代的な住宅が建ち並ぶようなった。
Compared to during my childhood, my hometown has changed. Now the view of modern houses lined up on the hilltop can be seen from the river."
またがる,"台風の被害は数県にまたがっていた。
たいふうのひがいはすうけんにまたがっていた。
The damage of the typhoon spread over several prefectures."
脚本,"脚本を書いていて、行き詰まった時はどうする？
きゃくほんをかいていて、いきづまったときはどうする？
What do you do when you get writer's block while writing a script?"
山積している,"No data for Kanji
No data for Kana
No data for English"
堂々,"オリンピックでメダルを取った10代半ばの選手は、メディアのインタビューに堂々とした態度で答えた。
オリンピックでメダルを取ったじゅうだいなかばの選手は、メディアのインタビューにどうどうとした態度で答えた。
The athlete in his mid-teens, who had won a medal at the Olympics, confidently attended media interviews and responded to reporters’ questions."
室内装飾,"彼女の抱負は室内装飾家になることです。
かのじょのほうふはしつないそうしょくいえになることです。
She has aspirations to become an interior decorator."
妥当,"外相は、テレビインタビューに答えて、超大国の軍事行動は明らかな国際法違反であり、経済制裁は極めて妥当な措置であるとコメントした。
がいしょうは、テレビインタビューに答えて、ちょうたいこくの軍事行動は明らかな国際法違反であり、経済制裁はきわめてだとうなそちであるとコメントした。
In a televised interview, the foreign minister commented that the military actions of the superpower were a clear violation of international law and that imposing economic sanctions was appropriate."
重宝,"車は持っていると重宝なものだ。
くるまはもっているとちょうほうなものだ。
A car is a handy thing to own."
ばたつく,"No data for Kanji
No data for Kana
No data for English"
保留,"彼は承認を保留した。
かれはしょうにんをほりゅうした。
He withheld his consent."
めきめき,"近年めきめきと力をつけているプロゴルファーの選手は、国内ツアーの獲得賞金が1億円を超え、この年の「賞金王」に輝いた。
近年めきめきとちからをつけているプロゴルファーの選手は、国内ツアーの獲得賞金がいちおくえんを超え、このとしの「しょうきんおう」に輝いた。
A professional golfer, whose game has  grown remarkably stronger in recent years, was crowned “top prize-money earner” of the year, having won over 100 million yen on the domestic tour."
復活,"私は復活祭のパレードを見て楽しんだ。
わたしはふっかつさいのパレードをみてたのしんだ。
I enjoyed watching the Easter Parade."
もてなして,"10年ぶりに再会した友人は私を家に招き、手料理でもてなしてくれた。
じゅうねんぶりに再会したゆうじんは私をいえに招き、てりょうりでもてなしてくれた。
Being reunited after 10 years, my friend invited me to her house and treated me to a home-cooked meal."
歪む,"おまえは舞台のそでで歪んだ鐘を鳴らしている。
おまえはぶたいのそででいがんだかねをならしている。
You're hitting a bell at the edge of the stage."
観点,"宅配の荷物を受け取るときは基本的に印鑑を押すか、サインをすることになっていたが、感染症拡大防止の観点から、住所と名前の確認だけで済ませる場合も増えてきた。
たくはいの荷物を受け取るときは基本的に印鑑を押すか、サインをすることになっていたが、感染症拡大防止の観点から、住所と名前の確認だけですませる場合も増えてきた。
Although the stamping of a seal or giving a signature used to be required to receive a parcel from a courier, confirmation of address and names are increasingly considered sufficient these days from the standpoint of preventing the spread of infectious diseases through reduced contact."
水増ししている,"あのパブではビールを水増ししているのではないか。
あのパブではビールをみずまししているのではないか。
I suspect they water down the beer in that pub."
